Sample_ID	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample
BW6-7035-T2-ITS	7035	BW	BW6	T2	177269	151661	151085	148574	146629	127915	127915	127655	127655
BW6-7173-T2-ITS	7173	BW	BW6	T2	426058	382750	382533	374840	371897	314504	314504	314358	314358
BW6-7284-T2-ITS	7284	BW	BW6	T2	473311	415656	415235	405846	403059	348681	348681	348210	348210
BW6-7567-T2-ITS	7567	BW	BW6	T2	209431	182075	181820	180908	177844	127500	127500	127500	127500
BW7-7366-T2-ITS	7366	BW	BW7	T2	395527	356871	356613	348437	346885	274171	274171	274169	274169
BW7-7506-T2-ITS	7506	BW	BW7	T2	272948	241124	241019	233234	230973	174043	174043	174043	174043
BW7-7581-T2-ITS	7581	BW	BW7	T2	264764	222822	222522	221131	219211	195507	195507	195502	195502
BW7-7593-T2-ITS	7593	BW	BW7	T2	402327	348192	347607	343322	340768	297110	297110	297005	297005
CG2-7072-T2-ITS	7072	CG	CG2	T2	359611	299889	299537	297101	295174	179321	179321	179290	179290
CG2-7148-T2-ITS	7148	CG	CG2	T2	433189	369434	368648	362368	360021	250612	250612	250457	250457
CG2-7160-T2-ITS	7160	CG	CG2	T2	602493	534780	533877	526166	523573	430886	430886	430769	430769
CG2-7208-T2-ITS	7208	CG	CG2	T2	470009	405552	404895	399005	396093	296800	296800	296729	296729
CG3-7376-T2-ITS	7376	CG	CG3	T2	277740	239545	239106	237568	234824	187451	187451	187332	187332
CG3-7382-T2-ITS	7382	CG	CG3	T2	263991	230295	230013	225107	223175	185290	185290	185285	185285
CG3-7515-T2-ITS	7515	CG	CG3	T2	260783	224601	224214	223236	221803	166907	166907	166894	166894
CG3-7651-T2-ITS	7651	CG	CG3	T2	277678	180118	179894	174380	174031	145749	145749	145749	145749
CG4-7097-T2-ITS	7097	CG	CG4	T2	232989	203476	203222	202107	199887	181012	181012	181012	181012
CG4-7218-T2-ITS	7218	CG	CG4	T2	233083	199714	199152	197891	196930	156967	156967	156967	156967
CG4-7406-T2-ITS	7406	CG	CG4	T2	262133	225042	224644	223485	221906	165048	165048	164955	164955
CG4-7425-T2-ITS	7425	CG	CG4	T2	231588	199666	199165	198248	196913	153404	153404	153395	153395
CG6-7014-T2-ITS	7014	CG	CG6	T2	264525	239665	239255	235622	234417	179150	179150	179150	179150
CG6-7344-T2-ITS	7344	CG	CG6	T2	840255	731417	730329	724963	720763	554036	554036	553849	553849
CG6-7551-T2-ITS	7551	CG	CG6	T2	326063	285813	285461	284309	282777	217963	217945	217932	217932
CG7-7197-T2-ITS	7197	CG	CG7	T2	219859	189151	188668	187423	185219	122676	122676	122676	122676
CG7-7434-T2-ITS	7434	CG	CG7	T2	242483	207090	206578	205296	203834	167109	167109	167077	167077
CG7-7574-T2-ITS	7574	CG	CG7	T2	358081	303173	302789	296428	294208	206014	206014	205941	205941
CG7-7655-T2-ITS	7655	CG	CG7	T2	296506	262037	261677	257425	256432	192510	192510	192496	192496
CG8-7084-T2-ITS	7084	CG	CG8	T2	430659	376587	376046	374610	372191	300317	300317	300197	300197
CG8-7522-T2-ITS	7522	CG	CG8	T2	384078	339620	339204	332786	331120	213209	213209	213203	213203
CG8-7544-T2-ITS	7544	CG	CG8	T2	277585	212351	211953	206861	205755	139410	139410	139342	139342
CR10-7348-T2-ITS	7348	CR	CR10	T2	378858	324551	323907	319968	317550	262535	262535	262422	262422
CR10-7431-T2-ITS	7431	CR	CR10	T2	181567	161806	161497	157645	156263	137434	137434	137348	137348
CR10-7497-T2-ITS	7497	CR	CR10	T2	378073	317239	316757	315033	312245	269200	269200	269146	269146
CR10-7549-T2-ITS	7549	CR	CR10	T2	241589	210857	210665	209201	206803	145827	145827	145823	145823
CR3-7338-T2-ITS	7338	CR	CR3	T2	493292	431762	431143	428031	421428	378895	378895	378872	378872
CR3-7445-T2-ITS	7445	CR	CR3	T2	347939	310024	309363	300483	298843	250745	250745	250741	250741
CR3-7619-T2-ITS	7619	CR	CR3	T2	297802	270461	270054	263774	261316	216488	216488	216466	216466
CR3-7642-T2-ITS	7642	CR	CR3	T2	266642	232469	232167	230457	229026	180706	180706	180706	180706
CR4-7135-T2-ITS	7135	CR	CR4	T2	354695	310852	310431	308446	306528	228790	228790	228633	228633
CR4-7143-T2-ITS	7143	CR	CR4	T2	375565	336812	336320	331635	329401	268607	268607	268604	268604
CR4-7211-T2-ITS	7211	CR	CR4	T2	295583	250372	249741	247372	246189	143120	143120	143095	143095
CR4-7671-T2-ITS	7671	CR	CR4	T2	383003	331649	330737	320866	318293	238172	238172	238068	238068
CR7-7154-T2-ITS	7154	CR	CR7	T2	357821	319165	318330	312358	308476	256768	256768	256743	256743
CR7-7183-T2-ITS	7183	CR	CR7	T2	335560	279677	279392	278090	277150	180436	180436	180390	180390
CR7-7648-T2-ITS	7648	CR	CR7	T2	578761	508477	507936	503307	499149	391872	391368	391368	391368
CR7-7652-T2-ITS	7652	CR	CR7	T2	355034	311045	310535	303945	301981	214816	214816	214814	214814
CR9-7298-T2-ITS	7298	CR	CR9	T2	365474	331877	331559	326716	323275	277563	277563	277475	277475
CR9-7320-T2-ITS	7320	CR	CR9	T2	287540	237431	237073	232686	231237	146207	146207	146167	146167
CR9-7389-T2-ITS	7389	CR	CR9	T2	272661	229078	228552	227269	225548	183027	183027	183016	183016
CR9-7469-T2-ITS	7469	CR	CR9	T2	245713	201880	201481	200741	198981	139897	139897	139857	139857
GC1-7085-T2-ITS	7085	GC	GC1	T2	402014	348355	347872	346478	344199	320406	320406	320311	320311
