CG4-7425-T3-ITS	T3_run6_new	ITS	387762
CG6-7014-T3-ITS	T3_run6_new	ITS	377379
CG6-7344-T3-ITS	T3_run6_new	ITS	283564
CG7-7434-T3-ITS	T3_run6_new	ITS	346330
CG7-7655-T3-ITS	T3_run6_new	ITS	417737
CG8-7084-T3-ITS	T3_run6_new	ITS	392605
CG8-7522-T3-ITS	T3_run6_new	ITS	335306
CR10-7431-T3-ITS	T3_run6_new	ITS	502816
CR10-7497-T1-ITS	T3_run6_new	ITS	312696
CR3-7338-T1-ITS	T3_run6_new	ITS	231451
CR3-7338-T3-ITS	T3_run6_new	ITS	379030
CR4-7143-T3-ITS	T3_run6_new	ITS	450225
CR4-7211-T3-ITS	T3_run6_new	ITS	216713
CR7-7183-T3-ITS	T3_run6_new	ITS	514882
CR7-7652-T3-ITS	T3_run6_new	ITS	436947
CR9-7298-T3-ITS	T3_run6_new	ITS	311408
CR9-7469-T1-ITS	T3_run6_new	ITS	328561
CR9-7469-T3-ITS	T3_run6_new	ITS	285829
EP1-DNAblank-T1-ITS-Rep2	T3_run6_new	ITS	0
EP3-Syn-Rep1-T1-ITS	T3_run6_new	ITS	206295
EP8-Amp-Blank-T3-ITS	T3_run6_new	ITS	54206
EP8-DNAblank-T3-ITS	T3_run6_new	ITS	127668
EP8-Idx-Blank-T3-ITS	T3_run6_new	ITS	111140
EP8-Pine-Rep1-T3-ITS	T3_run6_new	ITS	339971
EP8-Pine-Rep2-T3-ITS	T3_run6_new	ITS	362540
EP8-Pine-Rep3-T3-ITS	T3_run6_new	ITS	437872
EP8-Syn-Extr-T3-ITS	T3_run6_new	ITS	339651
EP8-Syn-Rep1-T3-ITS	T3_run6_new	ITS	338949
EP8-Syn-Rep2-T3-ITS	T3_run6_new	ITS	350450
EP8-Syn-Rep3-T3-ITS	T3_run6_new	ITS	329762
EP8-Syn-Rep4-T3-ITS	T3_run6_new	ITS	298363
GC2-7078-T3-ITS	T3_run6_new	ITS	376330
GC2-7276-T3-ITS	T3_run6_new	ITS	319584
GC2-7507-T1-ITS	T3_run6_new	ITS	232999
GC5-7089-T1-ITS	T3_run6_new	ITS	224234
GC5-7178-T1-ITS	T3_run6_new	ITS	273087
GC5-7178-T3-ITS	T3_run6_new	ITS	396761
GC5-7457-T3-ITS	T3_run6_new	ITS	382659
GC8-7377-T1-ITS	T3_run6_new	ITS	294059
GC8-7501-T1-ITS	T3_run6_new	ITS	409178
GC8-7501-T3-ITS	T3_run6_new	ITS	364961
GC9-7275-T3-ITS	T3_run6_new	ITS	460331
GC9-7589-T3-ITS	T3_run6_new	ITS	373018
GE1-7087-T3-ITS	T3_run6_new	ITS	353449
GE1-7112-T3-ITS	T3_run6_new	ITS	320428
GE2-7530-T1-ITS	T3_run6_new	ITS	285718
GE2-7555-T3-ITS	T3_run6_new	ITS	323843
GE6-7205-T3-ITS	T3_run6_new	ITS	272064
GE6-7213-T3-ITS	T3_run6_new	ITS	448386
