sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
RM3-7538-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	RM3	RM	LowDNB	Resistant	Cairngorms	D	14.8	0.94692621	Susceptible	-7.6	Average	0.62745231	Average	19.2	Average
GC5-7089-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	GC5	GC	LowDNB	Resistant	Central Atlantic	D	14.16	-1.32606497	Resistant	-12.1	Resistant	-4.03418903	Resistant	5.4	Resistant
RM3-7115-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	RM3	RM	HighDNB	Susceptible	Cairngorms	C	14.16	0.56218801	Average	-9.516666668	Average	5.84387649	Susceptible	52.93333333	Susceptible
GT2-7210-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	GT2	GT	Average	Average	Cairngorms	C	14.16	-0.28350871	Average	-10.26666667	Average	2.23387507	Average	28.26666667	Average
GC5-7178-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	GC5	GC	Average	Average	Central Atlantic	C	12.1	0.49996133	Average	-8.433333332	Average	-2.10404492	Average	18.93333333	Average
AC1-7050-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	AC1	AC	Average	Average	Cairngorms	C	13.37	-0.42499199	Average	-10.23333333	Average	-1.93716859	Average	18.13333333	Average
GT5-7253-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	55.8	T3_run6	GT5	GT	Average	Average	Cairngorms	D	11.3	0.96277291	Susceptible	-6.95	Susceptible	0.41033351	Average	32.66666667	Average
GT8-7254-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	57.2	T3_run6	GT8	GT	Average	Average	Cairngorms	D	11.62	0.54121394	Average	-7.4	Average	1.74589922	Average	39.26666667	Average
BW3-7594-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	74.6	T3_run6	BW3	BW	Average	Average	Central Atlantic	C	16.07	0.30791254	Average	-7	Susceptible	-3.16711136	Resistant	12.4	Resistant
RM1-7665-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	82.6	T3_run6	RM1	RM	Average	Average	Cairngorms	D	11.14	-0.27922607	Average	-9.366666668	Average	-2.09252052	Average	14.4	Resistant
BE7-7019-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	83.6	T3_run6	BE7	BE	Average	Average	Hyper-oceanic	C	16.07	-0.65383932	Average	-9.766666666	Average	1.30691393	Average	31.86666667	Average
CR3-7338-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	81.8	T3_run6	CR3	CR	HighDNB	Susceptible	Hyper-oceanic	C	12.57	0.34382048	Average	-9.266666668	Average	2.61722401	Susceptible	38.93333333	Average
CR9-7469-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	83	T3_run6	CR9	CR	LowNR	Susceptible	Hyper-oceanic	C	12.73	1.03572018	Susceptible	-6.3	Susceptible	2.74163879	Susceptible	32.6	Average
RM4-7436-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	86.2	T3_run6	RM4	RM	LowNR	Susceptible	Cairngorms	C	13.53	0.96222629	Susceptible	-6.916666666	Susceptible	0.96754484	Average	31.2	Average
EP1-DNAblank-T1-ITS-Rep2	ITS	T1	control [EFO_0001461]	control		EP3	T1-repeats		T3_run6	DNAblank	DNAblank													
BB5-7412-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	85.6	T3_run6	BB5	BB	Vulnerable	Susceptible	Cairngorms	D	8.28	0.9203197	Susceptible	-5.833333334	Susceptible	-0.28490271	Average	17.06666667	Average
AC8-7541-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	95.4	T3_run6	AC8	AC	LowNR	Susceptible	Cairngorms	D	10.5	1.07636369	Susceptible	-4.933333334	Susceptible	-1.4703843	Average	21.2	Average
